00:29:52:676  INFO 44088 --- [rpcDispatch_RMROLE_1_9_24] i.s.c.r.p.client.RmUndoLogProcessor      : rm handle undo log process:UndoLogDeleteRequest{resourceId='jdbc:mysql://192.168.50.128:3306/hm-cart', saveDays=7, branchType=AT}
00:29:52:704  WARN 44088 --- [rpcDispatch_RMROLE_1_9_24] io.seata.rm.RMHandlerAT                  : Failed to get dataSourceProxy for delete undolog on jdbc:mysql://192.168.50.128:3306/hm-cart
09:36:36:696  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : channel [id: 0x11a34616, L:/192.168.50.1:55784 - R:/192.168.50.128:8099] read idle.
09:36:36:701  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x11a34616, L:/192.168.50.1:55784 - R:/192.168.50.128:8099]
09:36:36:713  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x11a34616, L:/192.168.50.1:55784 - R:/192.168.50.128:8099]) will closed
09:36:36:715  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x11a34616, L:/192.168.50.1:55784 ! R:/192.168.50.128:8099]) will closed
09:36:36:715  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.netty.NettyClientChannelManager  : return to pool, rm channel:[id: 0x11a34616, L:/192.168.50.1:55784 ! R:/192.168.50.128:8099]
09:36:36:715  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : channel valid false,channel:[id: 0x11a34616, L:/192.168.50.1:55784 ! R:/192.168.50.128:8099]
09:36:36:715  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x11a34616, L:/192.168.50.1:55784 ! R:/192.168.50.128:8099]
09:36:36:715  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x11a34616, L:/192.168.50.1:55784 ! R:/192.168.50.128:8099]) will closed
09:36:36:715  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x11a34616, L:/192.168.50.1:55784 ! R:/192.168.50.128:8099]) will closed
09:36:36:716  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : channel inactive: [id: 0x11a34616, L:/192.168.50.1:55784 ! R:/192.168.50.128:8099]
09:36:36:716  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : channel valid false,channel:[id: 0x11a34616, L:/192.168.50.1:55784 ! R:/192.168.50.128:8099]
09:36:36:716  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x11a34616, L:/192.168.50.1:55784 ! R:/192.168.50.128:8099]
09:36:36:716  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x11a34616, L:/192.168.50.1:55784 ! R:/192.168.50.128:8099]) will closed
09:36:36:716  INFO 44088 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x11a34616, L:/192.168.50.1:55784 ! R:/192.168.50.128:8099]) will closed
09:36:38:351  INFO 44088 --- [timeoutChecker_2_1] i.s.c.r.netty.NettyClientChannelManager  : will connect to 192.168.50.128:8099
09:36:38:354  INFO 44088 --- [timeoutChecker_2_1] i.s.c.rpc.netty.RmNettyRemotingClient    : RM will register :jdbc:mysql://192.168.50.128:3306/hm-cart
09:36:38:354  INFO 44088 --- [timeoutChecker_2_1] i.s.core.rpc.netty.NettyPoolableFactory  : NettyPool create channel to transactionRole:RMROLE,address:192.168.50.128:8099,msg:< RegisterRMRequest{resourceIds='jdbc:mysql://192.168.50.128:3306/hm-cart', applicationId='cart-service', transactionServiceGroup='hmall'} >
09:36:38:427  INFO 44088 --- [timeoutChecker_2_1] i.s.c.rpc.netty.RmNettyRemotingClient    : register RM success. client version:1.5.2, server version:1.5.2,channel:[id: 0x6a911240, L:/192.168.50.1:56666 - R:/192.168.50.128:8099]
09:36:38:428  INFO 44088 --- [timeoutChecker_2_1] i.s.core.rpc.netty.NettyPoolableFactory  : register success, cost 65 ms, version:1.5.2,role:RMROLE,channel:[id: 0x6a911240, L:/192.168.50.1:56666 - R:/192.168.50.128:8099]
