00:29:52:685  INFO 43116 --- [rpcDispatch_RMROLE_1_15_24] i.s.c.r.p.client.RmUndoLogProcessor      : rm handle undo log process:UndoLogDeleteRequest{resourceId='jdbc:mysql://192.168.50.128:3306/hm-item', saveDays=7, branchType=AT}
00:29:52:726  WARN 43116 --- [rpcDispatch_RMROLE_1_15_24] io.seata.rm.RMHandlerAT                  : Failed to get dataSourceProxy for delete undolog on jdbc:mysql://192.168.50.128:3306/hm-item
04:36:42:565  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : channel [id: 0x64e1117a, L:/192.168.50.1:53646 - R:/192.168.50.128:8099] read idle.
04:36:42:569  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x64e1117a, L:/192.168.50.1:53646 - R:/192.168.50.128:8099]
04:36:42:572  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x64e1117a, L:/192.168.50.1:53646 - R:/192.168.50.128:8099]) will closed
04:36:42:584  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x64e1117a, L:/192.168.50.1:53646 ! R:/192.168.50.128:8099]) will closed
04:36:42:584  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.netty.NettyClientChannelManager  : return to pool, rm channel:[id: 0x64e1117a, L:/192.168.50.1:53646 ! R:/192.168.50.128:8099]
04:36:42:584  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : channel valid false,channel:[id: 0x64e1117a, L:/192.168.50.1:53646 ! R:/192.168.50.128:8099]
04:36:42:584  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x64e1117a, L:/192.168.50.1:53646 ! R:/192.168.50.128:8099]
04:36:42:584  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x64e1117a, L:/192.168.50.1:53646 ! R:/192.168.50.128:8099]) will closed
04:36:42:584  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x64e1117a, L:/192.168.50.1:53646 ! R:/192.168.50.128:8099]) will closed
04:36:42:584  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : channel inactive: [id: 0x64e1117a, L:/192.168.50.1:53646 ! R:/192.168.50.128:8099]
04:36:42:584  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : channel valid false,channel:[id: 0x64e1117a, L:/192.168.50.1:53646 ! R:/192.168.50.128:8099]
04:36:42:584  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x64e1117a, L:/192.168.50.1:53646 ! R:/192.168.50.128:8099]
04:36:42:584  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x64e1117a, L:/192.168.50.1:53646 ! R:/192.168.50.128:8099]) will closed
04:36:42:584  INFO 43116 --- [NettyClientSelector_RMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x64e1117a, L:/192.168.50.1:53646 ! R:/192.168.50.128:8099]) will closed
04:36:44:567  INFO 43116 --- [timeoutChecker_2_1] i.s.c.r.netty.NettyClientChannelManager  : will connect to 192.168.50.128:8099
04:36:44:569  INFO 43116 --- [timeoutChecker_2_1] i.s.c.rpc.netty.RmNettyRemotingClient    : RM will register :jdbc:mysql://192.168.50.128:3306/hm-item
04:36:44:570  INFO 43116 --- [timeoutChecker_2_1] i.s.core.rpc.netty.NettyPoolableFactory  : NettyPool create channel to transactionRole:RMROLE,address:192.168.50.128:8099,msg:< RegisterRMRequest{resourceIds='jdbc:mysql://192.168.50.128:3306/hm-item', applicationId='item-service', transactionServiceGroup='hmall'} >
04:36:44:642  INFO 43116 --- [timeoutChecker_2_1] i.s.c.rpc.netty.RmNettyRemotingClient    : register RM success. client version:1.5.2, server version:1.5.2,channel:[id: 0x95b7b95e, L:/192.168.50.1:55746 - R:/192.168.50.128:8099]
04:36:44:642  INFO 43116 --- [timeoutChecker_2_1] i.s.core.rpc.netty.NettyPoolableFactory  : register success, cost 64 ms, version:1.5.2,role:RMROLE,channel:[id: 0x95b7b95e, L:/192.168.50.1:55746 - R:/192.168.50.128:8099]
09:36:36:628  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : channel [id: 0x04c60a2a, L:/192.168.50.1:59558 - R:/192.168.50.128:8099] read idle.
09:36:36:634  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x04c60a2a, L:/192.168.50.1:59558 - R:/192.168.50.128:8099]
09:36:36:635  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x04c60a2a, L:/192.168.50.1:59558 - R:/192.168.50.128:8099]) will closed
09:36:36:639  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x04c60a2a, L:/192.168.50.1:59558 ! R:/192.168.50.128:8099]) will closed
09:36:36:639  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.netty.NettyClientChannelManager  : return to pool, rm channel:[id: 0x04c60a2a, L:/192.168.50.1:59558 ! R:/192.168.50.128:8099]
09:36:36:639  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : channel valid false,channel:[id: 0x04c60a2a, L:/192.168.50.1:59558 ! R:/192.168.50.128:8099]
09:36:36:639  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x04c60a2a, L:/192.168.50.1:59558 ! R:/192.168.50.128:8099]
09:36:36:639  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x04c60a2a, L:/192.168.50.1:59558 ! R:/192.168.50.128:8099]) will closed
09:36:36:639  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x04c60a2a, L:/192.168.50.1:59558 ! R:/192.168.50.128:8099]) will closed
09:36:36:639  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : channel inactive: [id: 0x04c60a2a, L:/192.168.50.1:59558 ! R:/192.168.50.128:8099]
09:36:36:639  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : channel valid false,channel:[id: 0x04c60a2a, L:/192.168.50.1:59558 ! R:/192.168.50.128:8099]
09:36:36:639  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : will destroy channel:[id: 0x04c60a2a, L:/192.168.50.1:59558 ! R:/192.168.50.128:8099]
09:36:36:639  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x04c60a2a, L:/192.168.50.1:59558 ! R:/192.168.50.128:8099]) will closed
09:36:36:639  INFO 43116 --- [NettyClientSelector_TMROLE_1_1] i.s.c.r.n.AbstractNettyRemotingClient    : ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x04c60a2a, L:/192.168.50.1:59558 ! R:/192.168.50.128:8099]) will closed
09:36:43:991  INFO 43116 --- [timeoutChecker_1_1] i.s.c.r.netty.NettyClientChannelManager  : will connect to 192.168.50.128:8099
09:36:43:994  INFO 43116 --- [timeoutChecker_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : NettyPool create channel to transactionRole:TMROLE,address:192.168.50.128:8099,msg:< RegisterTMRequest{applicationId='item-service', transactionServiceGroup='hmall'} >
09:36:44:022  INFO 43116 --- [timeoutChecker_1_1] i.s.c.rpc.netty.TmNettyRemotingClient    : register TM success. client version:1.5.2, server version:1.5.2,channel:[id: 0xfec83e94, L:/192.168.50.1:56679 - R:/192.168.50.128:8099]
09:36:44:022  INFO 43116 --- [timeoutChecker_1_1] i.s.core.rpc.netty.NettyPoolableFactory  : register success, cost 22 ms, version:1.5.2,role:TMROLE,channel:[id: 0xfec83e94, L:/192.168.50.1:56679 - R:/192.168.50.128:8099]
